business_name,review_id,user_id,stars,review_date,review_text,funny,useful,cool
Chipotle,_gcGIGfziNkhaIlkjhjKHg,3uU_6L8GnFOHTsO4I3oedg,3,2013-09-24,"I absolutely looove Chipotle. My problem is when you make me pay almost $2 extra for guacamole... please don't be stingy with it. Hook it up, Chipotl",1,2,1
SanTan Village,LXiDBkXxcyL4IPnXbjw0VQ,Ba-tIR3a8hhwIk-y_hVzFg,4,2011-03-27,"Next month when the temps skyrocket to triple digits, i will prolly not think soo highly of this place, but for now, San Tan has gotten alot of my fre",0,1,2
Love's,Er4Y-yj1JBW9cCbIf3ViKg,bC3By-saT9ylKu-dwWgtcw,4,2012-11-13,"Plenty of gas pumps and convenient to get some cooked food inside. If getting gas, caution for enter and exits at pumps.",0,0,0
Dirty Drummer,tMYUWXoFuLdFecqqP60R3A,X_kPh3nt0AJPNPHye2rTlA,4,2011-06-18,I was introduced to this place by my coworker and friend. She goes here every single day at lunch and its cute because everyone knows her there! Any,1,3,2
Euro Pizza Cafe,x2atXyt-QwCTzHhglzxj3Q,JKp42Y520azWI_WBzUMxTw,5,2012-04-07,This is a nice cafe with a diverse menu. There's indoor or outdoor dining with a view of the famous fountain! I ate here with my friend Connie who als,0,0,1
US Airways,o_YetnCcK_96ueIULO84fA,Vl4k0FiMNCRzEQwOpe4hXw,2,2012-07-20,"Well, they have good flights and connections from time to time. Their fleet is very archaic though, probably most of their planes are older than me (a",0,1,0
Wal-Mart Neighborhood Market,c7JHcdWo5pZ3rMIDbsDt_g,IDHrwv_RCildFvmfWTkj5Q,2,2011-10-02,I occasionally stop in this store while driving past. I will try to keep my comments on the positive side. NOTE if you don't read anything else: if,0,1,1
Flancer's Cafe,78XeKBmSE0reBjsmqg7HNg,AYGHNy8gPxl2Q-etTT3hZw,3,2012-12-01,"This place has decent food, cute atmosphere, but the service is problematic. I was stuck in Mesa for training and had lunch there on Halloween. My pal",5,7,5
Pappadeaux Seafood Kitchen,y6q-inMFFoEci-wRATp1-A,S3bvMOL50vgS_8-TtlGi4w,1,2010-12-02,$20 for a double Maker's Mark? Me thinks not T.G.I. McPappadeaux. I was not impressed by anything that was there and will not only steer clear but m,13,6,6
Lone Star Steakhouse,fp73RBYM6NAnNWii9bxZ8w,7Ot-v89x44U_VdIPgD3qKg,4,2011-10-18,Great food and a rare bird of a honest manager when it comes to whats in the food. They have very comfy booths. Did nor care for the country music. I,0,0,0
EVO,3D3Avu2d8Gj-HEbqqWhswg,H982l-WK1p49z9jZFNMEfQ,4,2013-12-29,Great atmosphere and decor..a welcome change from the chains and anchor restaurants in the area that all feel the same. My wife could not stop raving,0,0,0
Conocido Park,0ESAQ8Ynk1nZPt5LayMwng,3OelvbzNK3KSmMdL0O9nRQ,4,2013-10-08,I play this disc golf course weekly. The baskets are frequently moved to keep the course fresh. Trees provide difficulty and also shade! There are Dis,0,1,0
Nate's Barber Shop,KEMsCW33Y1ZQEGTiMKmcrA,Hm_7pViZyrp_Z62lBRopAg,5,2012-12-12,Nates barber shop is one of the best shops that I have encountered in my life. If your looking for a great inexpensive ($13) good looking haircut this,0,0,0
S & S Tire and Automotive Service Center,99_nV5h4JHomT7cgh0V6lg,hYKjQHu2fk4nMgCWO50f-w,5,2011-02-25,My partner and I needed two new tires and an alignment. We have a Chevy Cobalt and its only two years old. Went to the dealership and they wanted almo,1,0,0
La Parrilla Suiza,ldvKeuzBSIesZEmFcr4ooQ,EXvhtd_05d1H9RlXa2CnIQ,5,2012-07-27,"This food is just....fantastic. I don't know what else to say. I grew up eating at La Parrilla Suiza in Tucson. The tortilla soup and ""Queso Suiza""",0,1,0
Scratch Pastries & Bistro,znMtXO5hY5XPqAMj_7VLRg,b2DKC4kC8-QeSeGZ_MF3XQ,5,2012-03-16,"Yes, it is in a strip mall. Don't let that fool you. This is some downright good food with affordable prices. Even though service was very attentive",0,0,0
Joyride Taco House,uyLuLYfjs3S_8u3OkrIdmw,mY6zzvFbK0ENnQOdgtiT4Q,2,2013-10-19,Great food! But not worth the HORRIBLE SERVICE! Took about 15 mins for drinks that included a dr pepper. The server said the bartender is working hard,2,3,2
In-N-Out Burger,nxoxgQka8mTK-rLCh7sg3w,OwVB3YzcYeTRV09tpNDBSA,5,2011-07-08,"Nothing beats a #1 with grilled onions, no tomatoes, well done french fries and a pink lemonade. I've been known to eat here twice to three times a we",0,0,0
Roka Akor,fpjKqP8ONJ9rT82VoUhIQQ,4ozupHULqGyO42s3zNUzOQ,5,2011-07-18,"I hate to admit it, but it had been a long while since my last visit to Roka Akor. I deserve a hand slap. But last week, I had the perfect excuse to p",5,8,10
Ruth's Chris Steak House,z3pSiipCrQM3B6i9PrnoGw,hJBOxmNREXmMGTfXgMcGug,5,2010-03-30,Best steak I have ever eaten is at Ruth's Chris steakhouse. Comes to your table sizzling hot. Sides are sold individually but are pretty good. The des,0,0,0
Yupha's Thai Kitchen,arf6Ne6h0UDXizsbMcOomQ,AkJFqLqHHAKY3H5R8p7cPQ,5,2012-12-09,"Yupha Thai is definitely a ""yuppy"" in terms of being a great spot to go to. There are not too many places to eat near ASU Research Park, which is rig",0,0,0
Hotel Indigo Scottsdale,VDtEMw1X397ViDlP7oErTw,8Oy9-UwJQWffS0yOwPG6Ew,4,2013-07-01,I stayed here for one night while on a recent business trip! I wish I had discovered this place sooner.... I was pleasantly surprised! I never heard,0,0,0
Da Vˆng,xbVGTBSsXmvu56FTbXp7Aw,F6mQhKLdj_PEdxLvDYOm2Q,5,2011-12-15,I haven't had better pho anywhere in az. the large pho is enormous for the price. i usually go with my family and order a regular sized pho for myself,0,0,0
Trader Joe's,HzI7nVlXJQJR3GO1KXYxlA,cMmQsFyrYBv6hIE6NffqZQ,5,2011-01-03,"Trader Joe's always goes above and beyond in all of their services. The food is fresh and delicious, the prices reasonable and the people are great.",0,0,0
Beaver Choice,18fIpXUbcm9k6Pmtkbf0aA,3gIfcQq5KxAegwCPXc83cQ,4,2011-04-21,So I went here tonight with a friend. I was really excited and nervous to try this place after reading the reviews. So you walk in and walk up to the,1,1,0
Some Burros,Oqogqje3RKspPwVcREfsXA,GnqNc74So5Pc8C3hkA2hCg,5,2009-07-10,Came here w/ the hubster's. I've actually been craving this for some time now. The pollo fundido is great! So goooooood! Its a pretty big portion. The,0,2,1
Superstition Ranch Market,B1xnRb2j_iW2Ws0u1B0FNw,EOLRikjQxTIpXB4aV1hbPQ,5,2012-01-05,"Great place to shop, buy what you will use within a few days.",0,0,0
Fuego Tacos,J6nrjjCjXc-hnRpZZPrLnQ,A99dyhEqcd_yXKPfBWeZHA,3,2011-08-18,"I went to a late lunch on a Saturday and the Esplanade area was quite dead (I'm surprised because in the old days ('98-'99), I remember it to be prett",0,0,0
The Woodshed,#NAME?,lsp7p2NuC5MX4_iuch3_OA,1,2012-06-17,We only went here because it has been a traditional Father's Day event with friends. We decided to join them for the 1st time......really...we will n,0,1,0
Rosati's Pizza,Ld4Qg2Du0S3ulcdDCdm7Jg,SEDJTWEzMdqp7UsS1W3KXw,3,2012-10-24,"First of all, let me just say their food is fantastic. I love their pizza. I love their salads. I love the cheesy garlic bread and their chicken parm.",1,0,0
Sekai Sushi,8TB8vM1H_SuEK2hS-5wu7g,TDlgqAxf268QOw-OUk2Urw,2,2012-05-02,I am sorry to say people of Mesa you must have pretty low standards if this is the best sushi bar in Mesa. I went there last night and I really did no,0,2,0
D'Vine Bistro & Wine Bar,JvHH1Z84UJ1P5T9uIxEnyQ,rT4ycOjlrKefSAcjoQga5g,4,2012-04-12,Love the atmosphere and fantastic happy hour! Favorite spot in Mesa:),0,1,0
Scottsdale Stadium,eAYq_HT_gbD_ECgIWn3GoA,Mt3dPqOlnlGyVCftCcokmg,4,2012-03-27,"Ignoring the fact that Scottsdale Stadium is a bit overpriced these days for Spring Training Giants tickets, its fun. Its basically one big party (in",0,3,0
Thai House,#NAME?,fczQCSmaWF78toLEmb0Zsw,4,2008-07-21,"Damn... Helen Y beat me to the punch and got the FTR for this place! Oh well, I will say that she did a great job with her review - I think I was Tha",3,8,7
Jalape–o Inferno Bistro Mexicano,VRiSQiIfUnZdp0CxNMkLWg,4nJ5ryQTcQKs8mCrgt8-BQ,2,2011-04-05,The dinner we had here was OK... nothing to rave about. The tortilla chips were very good as others have mentioned... a mix of corn and deep fried flo,0,0,0
Caffe Boa,hi6a3fvAbtZq9jMIM8gkwQ,qa05pUVNapADHZXpHMPMeA,3,2010-06-26,"Caffe Boa is an interesting jokester, so, it is interestingly hard to review it. I'll keep it short. I have gone here several times, and each time wit",0,0,0
Golden Valley,ZYEAmRpYHxJYcbIv-c7S2w,gg_OKjOAl_vVmdh5ZETuiw,3,2012-02-25,Can I tell the difference between Uzbek cuisine and other Middle Eastern or Mediterranean cuisine? Nope. For all I know it's only a matter of where,0,0,0
Canyon Cafe,gi9hLYOPk_fbvOr2mCHu7g,nH9OZEGfgseWjC5_IPGCXw,5,2010-08-09,Everything about this place is wonderful!! I love the huge windows and outdoor patio! Gorgeous! Their food is amazing everything from the chips (there,0,0,1
Panda Express,r52OE-CfRoJQyjBtn0vHIQ,fMyKbyYY9Poy9B_1QZPKcg,1,2010-05-31,My young children love Panda Express orange chicken. They eat it 2-4 times a month. We were at the mall on a Saturday afternoon and stopped into the f,0,0,0
Gordon Biersch Brewery Restaurant,pfPFWY5SXQEEnlVJbFaNqA,nKaR5Z9Qmqc4RsakLLX_7w,3,2010-03-29,"It's very hard for me to enjoy a house brewed schwarzbier that, to me, tastes more like Bud Light with a hint of acrid smoke flavor than what I consid",2,4,3
Chili's Grill & Bar,42EOZ0KMF4wU1Sz7oeLfpA,AfyzIHPy5zds_mqf2Jdc9g,3,2011-02-07,"I love Chili's. My husband and I always go for the 2 for $20 deal at whatever Chili's location we may be, but this location seemed to skimp out on the",0,0,0
Beckett's Table,lNLiQx1zi-ctta6v4LLhXw,GJwbccjXgoRPbNuWcNKYXA,5,2012-01-29,"Beckett's Table is a fantastic restaurant for people who want great food, great wine, and great service. My wife and I dined there with a couple of fr",0,0,0
My Big Fat Greek Restaurant,IuSys52QuyTxGv3HLFKBSw,1gY1N3pkxTzh7kK4BxANyw,4,2011-05-07,"I hated Greek food, until I tried this place. My ""health nut"" girlfriend had to drag me to this place, kicking and screaming. After all, my long ago",2,3,3
Goldmans Deli,6DggWM9rgzC_mIo4THFpMA,PKZvqm3IeWiWBYoDDoEG4w,5,2012-09-02,Traveled in from the east coast so I got to Arizona very early in the day. I needed to kill some time before I could check into my hotel room so I en,0,0,0
Macayo's Depot Cantina,98nvcyGhtHlKO8pDlOcCsA,bZFRqP7s0Vszxeu8_IwYow,3,2008-03-21,I finally ate lunch here after not being able to get decent parking for Quiznos on Mill Ave. My coworker and I were starving and needed a place to sh,0,2,3
Rayner's Chocolate & Coffee Shop,GCdNDjutQWsT-qaYwW0zxw,M28A6JPQFBJnRBCfODe8IA,4,2013-05-15,"Cute bakery/coffee shop hidden in a little plaza on 51st Ave off of Thunderbird Rd. Nice selection of unique baked goods, chocolates and coffee drinks",0,1,0
Sushi Brokers,up3ueFZ1xJh_ts6dVu3_0A,hDlSSyDreM9xY4yQWPm54w,2,2009-02-26,"--expensive for business lunch --servers very attentive, prompt --lacks nth-degree detail of a Japanese chef running things; rolls and standards are s",4,3,3
The Vig Uptown,rib7dXO863eL5VGUDsot8g,uQCk37gNl1bEmkjAv6_kAw,4,2011-04-17,"My meal was great; the decor / layout is great also, with a lovely patio out back. The only downsides are parking, and the fact that the entrance is a",0,1,0
Lo-Lo's Chicken & Waffles,IlFoK4meMZ7Ws4enESzeTQ,EacK6XwZjsTD6QYSIRlJ7Q,5,2008-07-14,At first most of my noobie friends are very skeptical about the fusion of Chicken and Waffles. but after taking them to this place and experiencing f,2,3,2
Shoe Carnival,YhlJA_CuoZlK4FIJUHlCnw,_PzSNcfrCjeBxSLXRoMmgQ,2,2010-05-17,I had a $5 coupon in the mail so I was like what the heck. And is it next to Home Goods (one of my favie home decoration stores). I got to the store i,2,1,0
My Big Fat Greek Restaurant,Qe0FO565tGfTxb7QtNCVwg,2vl3MXKr8iQOWTNse5kgdw,3,2008-04-03,Nice menu selection; food was tasty. Good atmosphere. Wished they had a restaurant in the LA area.,0,1,0
Casey Moore's Oyster House,R7ZJPW4qEXuqI41aaWmO0A,rLtl8ZkDX5vH5nAx9C3q5Q,4,2009-04-02,This is a fun place for appetizers and drinks if it is not too crowded and the temperature is just right outside. Otherwise the inside gets way too p,1,2,1
Q to U BBQ,IJxqQwzJjAURPBAB_-iOAA,MSgZpSWlf8T2H_46OWNgCQ,5,2011-09-08,"Really enjoyed the Ribs and fries, I came with friends that really like BBQ, they agree, the ribs were terrific! I am sure we will be going back to Q",1,1,1
Lightning Lube,kezCWAz6MO1wKwXB_DK-3Q,bwmXfjwrogAaGqV33kSVpQ,3,2013-08-24,$115 for an oil change and two air filters for my civic. I must've had a really long day or she had magical powers and made me forget I could simply c,0,1,1
Athens Gyros,aAgVzZU2b0YbYGi4byeI6w,L8_GwFxxtGSYR2F_dglpSg,4,2013-08-17,Great food nice service. The girl that worked up front introduced herself to the other patrons that were there and asked them how the food was but no,0,0,0
Metro Light Rail,lG8Swugg_DQxY3NgT_BEig,LqgGgWi3FLHBViX9tmZ9sw,3,2011-10-31,"I just wish that this stupid HUGE metropolis could have more LIGHT RAIL connections!! compared to the circus you have to stand in the buses, the LR is",1,1,1
Oregano's Pizza Bistro,7QvgM_LJi6SRp_GuOXPFZQ,for16MiFS1M_8_cne6IbIw,4,2013-02-04,Big Delicious portions!,0,0,0
Gallo Blanco,gULD5qz_CQI9clPWh2FNHA,Z02XdD0muEz2FFQKPERMYQ,5,2013-12-29,Stopped in here one night right before Christmas. Short and sweet: Margaritas - very good (and huge by the way) Tacos - awesome Guacamole - exce,2,2,2
Los Dos Molinos,JcWhDcyNl3r_Tbeqiac15Q,GoymUzKqvET2QOZkIWZi9w,4,2014-01-07,"We have a friend who said the salsa is way too hot. All I heard was ""you must try Los Dos Molinos"". We love spicy food and are always up to a challeng",0,1,1
Nancy's Nail Salon,ZGo8c57MrzQrSN6R7zO1uQ,A9g7YnTtsSV-wEIo3HI1YQ,4,2011-06-09,Came here with my sister in law she had a coupon for a 27.99 mani/ spa pedi. The staff was friendly they have a tv and plenty of magazines to look thr,0,1,0
Changing Hands Bookstore,1xzMe1EEwhF23RNh3InKkQ,fPHLPrymsyb6WSFFKoMrTQ,5,2010-10-26,"This not-so-little bookstore has it all... new and used books, a unique gift section, book signings and events, wonderful staff and a cool, organized,",0,0,1
Tortilla Fish,OmSYYxZskG9BeRMwb5Dltw,MxO7EY766jVoFEZzkpwmOQ,2,2013-10-06,"My experience wasn't bad, just not up to the hype of all the other reviews. I tried the shrimp, fish, campechana and machaca tacos. The shrimp tacos w",0,0,0
Pet Club,0LvO1yc-52fJ6vIHaFVdAw,LXOhR4ZUULSbBNztxYZ2dQ,2,2013-07-16,That awkward moment when local competitors come write negative reviews about a store and then direct traffic to their own store....,0,1,1
Taste of Tops,J2lGBvJOcuhmauWs3rgMSg,aIAjAU-6NH583EkQ6E9KRw,4,2009-10-09,"Okay, in interest of full disclosure, I literally live around the corner and across the street from Tops Liqour and have been waiting forever for this",1,1,1
Carolina's Mexican Food,N6eg6Jc_mL_XHMGmw6GElw,cbxUyCUMjkWAs1h4auYeAw,4,2012-01-31,If you're looking for real Mexican in a hurry this is your place. This is one of places ill always bring out of town guests who can't find good Mexica,0,0,1
Super L Ranch Market,cK3J7FAqruLZM_Y5J29Q8Q,z06IHGXI_ofBc2DkAbCgnA,5,2011-05-09,"HOLY CRAP THEY HAVE FROZEN XIAOLONGBAO. :) These delicious little bites of porky, soupy dumpling heaven have eluded me since I first tasted them in",2,2,1
Salt Cellar,IXGX_Lk2NgCH-0OQNcGMpQ,E4HbTIHd9PVjUnEKpysaLw,5,2011-10-04,My experience here was absolutely amazing. My boyfriend and I had reservations for 7:30 pm on a Saturday night and the service was amazing and the fo,0,2,1
Rosita's Place,f_yQqlsim0S9YAIIYFvR5Q,7nlZJW84Adt6oYn2shnn_g,3,2013-05-30,"The food here is delicios, but it takes forever. From the time I ordered to when I was served 25minutes. Come only if you have time to spare to sit an",0,0,0
Matador Restaurant,x927gFqVNPSOPwNrKqPmmQ,nyHh14Vb9S269-kGKaUelg,4,2011-08-09,I've eaten at Matador almost once a month for about15 years. I won't get into the logistics of others reviews. I give the higher than average star rat,0,0,1
Hanny's,riZp_RIN28ld-U2Q5dhKhA,GRgBu4K7GOb3354esp_xkg,4,2010-06-08,Food = 4 stars Place = 5 stars Service = 4 stars I REALLY like this place. It looks super classy inside and the deco on both floors is a,3,3,3
Crust Pizza and Wine Cafe,rTc3d_GYXyHuf_tQoED80g,AOmdmYYSeLUstcN084_wMA,1,2012-10-16,"I told my friend that I'd rather eat out of a vending machine, and he said.. ""Yelp THAT!"" I had the calamari app, the caprese salad and the eggplant",2,1,0
Ocean Air,9gLTx4HjE-NeSa3KTfGJJQ,K0U0Hp6rgXHrYCG4jpPT8w,5,2013-09-01,"Thank you! Ocean Air came highly recommended and now I know why!! Excellent, fast, friendly service!!! Reasonably price AC maintenance and FAST respon",0,0,0
Sleepy Dog Brewpub,9gtyU7vjWUjddmFrT97sww,Fm0EXFwIfDQoIm9RgcAOKQ,3,2013-04-06,"As a number of others have said, the beer is good with a good number of choices. The food is pretty good too. The biggest issue has been service. The",0,0,0
unPhogettable,yVK0x3_-o16ufBbIyqGJRw,sWh4Tjwa8ch_rziHtTN9LA,5,2013-08-27,Always amazing service! Always amazing pho! Add veggies to a meat dish! The spring rolls A1 & A6 are the best in town!!! We are now here on a weekly b,1,1,1
Paradise Valley Burger Company,bkZ67PfRlKLKl4x5mIFYSg,ff00OcqImnNYy-OvSgUZyw,5,2013-11-04,Best burgers in town! They don't skimp on quality or ingenuity.,0,0,0
Hanny's,4n_3G2Xux0stcgOUsrzYaw,ev7D2jo5OUDeHf0dWoWlsQ,2,2012-06-25,"Super disappointing, they won't take reservations and I wanted to make a reservation for 20 persons. I've been here many many times and love the food",0,0,2
Golden Panda,ikNpO72tj7uI5VTatHpoAA,80OFMLRA0yW3sE4ciYg_vA,1,2009-10-10,Why oh why is it so hard to find good Chinese food in this town? The two behind the counter at this place are Chinese - please don't tell me you eat,0,0,0
Breakfast Club,U_oJEB166nCeBNY-wqadxw,AMYi-53cxstrCR5wqyY1KA,5,2011-01-11,O-M-Goodness! What luck to have eaten here for breakfast!! Huge portions served with fresh fruit slices or mixed berries. Great service and very nice,0,0,0
Ulta Salon Cosmetics & Fragrance,9e3MOWg4zrq_NOqKP3fMcQ,F6QsMoJdvtohlbnST-fDyQ,4,2011-03-14,I really like this store and have been going here for as long as they have been open. 18 or 19 years. It is always exciting to be rewarded for the pro,1,1,0
Essence Bakery CafŽ,NkekoPY-4txUxkyoN_Tu4w,DrWLhrK8WMZf7Jb-Oqc7ww,5,2012-09-14,"Ok, I'm not sure I ever had this pastry combination, but it was clearly a great item. It was the Chocolate almond croissant. Usually those two varieti",0,1,0
zpizza,UJEPSoO6yNnR8kdneDy0rg,fSi-yrKtBD58h2vPxjNE1A,4,2010-12-01,"We ordered 4 rusticas for delivery using their buy-one-get-one promo online. They had a great deal on rustica pizzas, but somewhere in the fine print",2,1,1
Kona Grill,osYRF4FQe4cziGIXz33eQQ,gITFg65GtRDUb-0n460vNg,4,2011-03-17,I've eaten at Kona Grill twice in two days while doing business in the area. I had the Kona Burger and the Pepperoni Pizza. The burger was fantastic,0,0,0
White House,xn2LkVHBuRZ_jAg-LIiQ4Q,wFweIWhv2fREZV_dYkz_1g,4,2011-07-25,"It's been a while since I took part in the nightlife in Scottsdale, it's not my scene but I was invited to White House for a party so you know how tha",3,5,4
Crowne Plaza Resort Hotel San Marcos Golf Resort,bMKW11Cf1Zeu1zWkzDbtrQ,Kt9NwDONle_mc0QHTud9jw,1,2011-07-18,"Rating the golf course, horrible!! Thank goodness there was no one in front of us and we zipped around the course. They clearly stopped maintaining",0,0,0
Hon Machi,mu8Gst6LkzG5ahmolCH55g,KucBnMrhalzxnD9AWrxwYQ,5,2011-06-21,"Great place for sushi and tepan - period. Not the ""high-end"" places but a rock solid place with lots of variety and good prices.",0,1,0
Bourbon Steak a Michael Mina Restaurant,AA6QQUFGWWkZlbpat46OfQ,cEIeuU0-4fX0Y4qCUW3PwQ,2,2008-12-01,"My husband, some friends and I went to this place for restaurant week. We all sampled different dishes to experience a range of items - the multi-flav",0,1,2
Tempe's Front Porch,J71o5dOSoxoOhcR8NEo4Og,R4Ax3btoJ6qLXhqq6J50VQ,4,2014-01-06,"This is the front porch of Monti's, my boyfriend and I were pretty confused looking for it. It's outdoors with a bunch of heating lamps, be sure to s",1,2,1
Joyride Taco House,pKe_ORPqaW0vfGyFkbxdHw,xv9nUSKR5RqnkgD0tufTfA,4,2013-12-02,Tried this place tonight with my boo and I am definitely a fan. He loved his carne asada burrito and my enchiladas were super tasty. They are a littl,0,0,0
Residence Inn Tempe,VUgm5DXgySh18v75pPFbtQ,wndkuSWsCOQJRo1Dsm79Og,?,2011-12-28,Noisy!! Poorly sound proofed rooms means that every car with booming stereos outside you have to listen to! I have never had this noisy of a hotel r,0,1,0
Maloney's on Shea,GsKuJK_VwyMCs8CEWRvmow,Ovpa3S8xD96dLE5eDxcxJg,?,2007-02-22,"This is the ""new"" Maloney's, or atleast the newest, that I know of. There are other Maloney's peppered throughout the state, in Tempe, Tucson, and Fla",0,2,1
China King,JrPq92qjI7yw1hik2JzwTw,uNbB1uR4EBhmygUc3IfPAw,?,2010-07-15,"Looking for a real Chinese restaurant with pink table clothes, fish tanks, and the works? Look no more. China King is it. I haven't tried their dim s",1,2,1
Arriba Mexican Grill,Nagwfx92hDCamTkd7IUnYA,umFk-9qCmxsmiZw1e_vmKQ,?,2010-09-16,"Great Carne Asada. Pretty rad that they have Hatch Green Chilis from New Mexico, and an entire portion of their menu dedicated to New Mexican food, a",0,0,0
Stacy's Pit Stop BBQ,0gl0HcuiebsHjTvUAYvzmA,gN03qFYysM5DbgjuV6N0QQ,?,2012-06-22,"Stacy your secret spicy BBQ sauce is kinda HOT. When I drove up, several people already had orders in and waiting. That is a good sign. Stacy's Smok",1,6,4
Lunardis,fpjKqP8ONJ9rT8209thIQQ,9itypHULqGyO42s3zNUzOQ,5,2018-06-11,This is the nicest grocery store in the city. I actually met my wife at this grocery store while shopping for avocados.,6,7,10
